L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,attack_cat
2819,47621,6,0.0,4880,28,3080,30,27,27,27,0,0,0,31,32,1072,52,52,1072,4880.0,3080.0,2020,6,1068,6,39040000,24640000,36,18,2,0,2,14480,14480,58368,228,0,0,0,0.0,0,Benign
49691,46339,6,0.0,4600,18,2456,18,27,27,27,0,0,0,31,32,1192,52,52,1192,4600.0,2456.0,2140,6,1068,6,36800000,19648000,14,18,2,0,2,14480,14480,23552,92,0,0,0,0.0,0,Benign
45402,111,17,0.0,568,4,304,4,0,0,0,0,0,0,31,32,142,76,76,142,568.0,304.0,0,0,0,0,4544000,2432000,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0,Benign
10010,21,6,1.0,215,5,408,5,24,24,16,0,0,0,62,63,108,48,48,108,510.0,704.0,103,2,176,2,3264000,4496000,19,0,0,0,0,16383,16383,26368,103,0,0,0,227.0,1,Exploits
22919,6881,6,0.0,13454,234,548216,438,27,27,27,4294951,16,16,31,32,1500,52,52,1500,13454.0,548216.0,1679,20,272908,196,6328000,257984000,284,0,4,32,352,65160,34752,36608,143,0,0,0,0.0,0,Benign
31470,111,17,0.0,568,4,312,4,0,0,0,0,0,0,31,32,142,76,76,142,568.0,312.0,0,0,0,0,4544000,2496000,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0,Benign
50378,5190,6,0.0,4804,32,2552,28,27,27,27,0,0,0,31,32,1264,52,52,1264,4804.0,2552.0,1982,8,804,5,38432000,20416000,54,0,4,0,2,13032,17376,48640,190,0,0,0,0.0,0,Benign
12493,25,6,3.0,37914,54,3276,40,27,27,27,0,0,0,31,32,1500,52,52,1500,37914.0,3276.0,18485,18,958,7,303312000,26208000,66,2,2,0,24,15928,31856,13568,53,0,0,0,0.0,0,Benign
51339,6881,6,0.0,1540,16,1644,18,27,27,27,0,0,0,31,32,329,52,52,329,1540.0,1644.0,506,3,506,3,12320000,13152000,30,0,4,0,0,10136,10136,64000,250,0,0,0,0.0,0,Benign
19118,21,6,1.0,701,13,1054,15,24,24,24,0,0,0,31,32,106,52,52,106,1148.0,1296.0,190,3,266,3,6480000,6864000,39,0,0,0,0,11584,11584,48640,190,0,0,0,125.0,0,Benign
